pipe_id,pipe_age_yrs,diameter_mm,material,soil_type,burial_depth_m,num_prior_repairs,avg_pressure_bar,pressure_variance,avg_flow_lps,flow_variance,pressure_drop_pct,soil_temp_c,elevation_m,zone,failure
P00001,39,50,cast_iron,loam,2.98,1,2.93,0.775,99.8,1.181,,14.0,42.8,Zone_C,0
P00002,52,150,steel,loam,2.14,2,7.3,0.191,45.54,1.802,6.11,23.5,29.1,Zone_E,0
P00003,29,400,ductile_iron,rocky,2.69,1,5.69,0.683,99.75,1.613,10.18,15.0,39.0,Zone_C,0
P00004,15,100,ductile_iron,rocky,1.54,3,5.75,0.0,62.68,0.484,10.89,14.6,362.9,Zone_C,0
P00005,43,150,PVC,rocky,2.7,1,4.85,0.432,95.41,1.156,5.67,13.5,309.3,Zone_B,0
P00006,8,200,concrete,sandy,0.62,0,2.9,,31.1,2.179,12.7,16.3,349.4,Zone_A,0
P00007,21,200,steel,rocky,0.96,2,,0.677,92.98,0.103,1.89,,409.9,Zone_E,0
P00008,39,150,PVC,clay,2.41,1,6.31,2.361,29.46,1.838,0.36,13.5,314.7,Zone_D,0
P00009,58,100,PVC,sandy,1.85,2,4.91,0.38,14.32,4.593,14.7,23.2,244.8,Zone_C,0
P00010,19,300,PVC,clay,2.99,1,6.38,0.381,95.38,4.912,13.8,19.7,410.4,Zone_E,0
P00011,23,200,PVC,rocky,1.53,0,2.04,1.833,94.84,3.808,4.59,16.0,316.8,Zone_C,0
P00012,11,100,steel,rocky,2.8,3,5.93,0.223,17.67,0.496,14.34,23.1,353.1,Zone_B,0
P00013,11,50,cast_iron,clay,0.92,1,5.56,,53.95,3.917,4.69,15.9,222.1,Zone_B,0
P00014,24,150,ductile_iron,sandy,3.29,2,7.85,0.596,8.57,0.236,7.08,17.5,230.6,Zone_E,0
P00015,53,100,concrete,rocky,1.76,0,7.44,0.34,88.03,0.779,7.93,9.9,229.2,Zone_D,0
P00016,36,100,concrete,loam,1.19,1,5.6,0.732,94.58,1.012,9.58,23.4,150.1,Zone_A,0
P00017,40,300,cast_iron,sandy,2.87,5,5.46,0.265,,0.461,7.88,21.8,312.8,Zone_A,0
P00018,24,50,cast_iron,sandy,3.34,0,2.56,,65.57,4.141,13.67,14.4,225.6,Zone_A,0
P00019,3,200,concrete,loam,3.25,3,7.65,0.735,20.64,2.665,8.4,19.3,33.2,Zone_B,0
P00020,22,100,PVC,rocky,1.21,2,6.24,0.515,118.56,2.505,0.45,13.8,352.9,Zone_D,0
P00021,53,200,PVC,sandy,2.52,1,5.01,0.113,34.46,5.246,2.65,11.1,256.6,Zone_D,0
P00022,2,200,cast_iron,clay,2.14,2,7.14,0.363,101.44,2.863,14.37,13.5,102.8,Zone_B,0
P00023,24,50,steel,clay,2.68,0,6.38,1.698,13.78,1.117,0.67,13.8,38.0,Zone_A,0
P00024,44,150,cast_iron,clay,1.96,0,5.38,0.055,26.95,0.285,11.34,8.1,103.9,Zone_D,0
P00025,30,100,cast_iron,loam,1.91,1,5.23,0.611,84.04,3.523,14.65,7.2,260.2,Zone_D,0
P00026,38,300,cast_iron,rocky,3.15,1,7.56,0.776,9.83,2.501,0.45,9.6,41.9,Zone_B,0
P00027,2,300,concrete,loam,3.11,0,17.439358774142566,0.562,5.82,1.861,12.9,15.2,311.8,Zone_A,0
P00028,21,150,PVC,rocky,2.86,2,,0.06,,2.734,10.56,12.0,143.2,Zone_A,0
P00029,33,150,steel,rocky,2.61,2,5.77,0.039,82.5,2.813,0.49,21.1,482.8,Zone_B,0
P00030,12,100,ductile_iron,sandy,2.54,4,3.18,0.353,86.56,2.715,8.98,23.0,396.8,Zone_D,0
